index,title,code,leader,funding,status
01,西藏自治区重点研发及转化重点专项项目“西藏高原环境暴露与人群健康风险监测、管控与应急管理技术研究”,XZ202501ZY0072-1,朱彤,1703.7万元,在研
02,西藏自治区重点研发项目“西藏大气VOCs与PM2.5多尺度协同演变机制及综合防控关键技术研究”,XZ202601ZY0130,布多,200万元,在研
03,国家自然科学基金项目青年项目“西藏典型地热源中砷污染特征及其迁移转化机制研究”,22506156,崔小梅,30万元,在研
04,西藏自治区二次科考揭榜挂帅项目“第二次青藏科考支撑服务——珠峰大气本底站设计与建设”,XZ00061303,朱彤,95万元,在研
05,国家自然科学基金项目地区项目“基于配体交换与限域效应的吡唑基MOF构筑及其用于高原生活污水中PFAS脱除的性能和机制研究”,2256060288,张强英,33万元,在研
06,国家自然科学基金地区项目“具有分区功能化模块的双功能催化剂构筑及其级联催化半纤维素制备糠醇”,43080019,吕学斌,22.27万元,在研
07,国家自然科学基金面上项目“高原低压缺氧环境生活垃圾焚烧过程多环芳烃生成及阻控机制研究”,22476160,旦增,50万元,在研
08,国家自然科学基金地区项目“藏东南典型冰湖溶解性有机质对微生物介导的砷迁移转化的机制研究”,22466032,崔小梅,32万元,在研
09,国家自然科学基金项目地区项目“薄层中空 MgO 微球的制备及其共去除地热水中砷和氟的性能和机制研究”,22266032,张强英,31万元,在研
10,拉萨市科技计划项目“拉萨南北山人工林病虫害预警系统研发与示范”,LSKJ202621,朱彤,150万元,在研
11,西藏自治区科技计划“拉萨河流域生态环境保护修复治理地球系统协同观测与应用示范”（子课题：拉萨河流域大气环境过程观测与空气质量保障研究）,XZ202601JD0005,叶春翔,149万元,在研
12,国家科技部项目“农村厕所改造升级区域约束性研究与技术路径重构”,,崔小梅,60万元,在研
13,西藏自治区科技厅2022年中央引导地方项目“不同海拔地区典型市政污水处理厂群落结构异质性成因及定向调控策略”,XZ202202YD0016C,张强英,48万元,结项
14,第二次青藏高原综合科学考察研究项目子子专题“西藏高原典型区域大气颗粒物理化特性及源解析”,2019QZKK0605,布多,50万元,结项
15,拉萨市科技局委托项目“拉萨市区空气污染来源、形成机制及防控措施研究”,,布多,10万元,结项
16,西藏自治区科学技术协会项目“藏药贝母高值利用及对典型污染物的吸附研究”,,布多,15万元,结项
17,西藏自治区科技厅基地与人才项目“怒江源头流域微塑料赋存特性及源解析”,,张强英,10万元,结项
18,西藏自治区教育厅项目“生态文明建设视域下西藏高校化学专业人才培养模式的探索与实践”,,崔小梅,2万元,结项
