index,authors,title,journal,year,volume,pages
01,"Siyuan Xiong; Wenxiao Pan; Duo Bu; Kai Huang; Boyuan Hu; Shuyi Shen; Qiangying Zhang; Zeng Dan; Xiaomei Cui; Yingming Li; Guorui Liu; Qinghua Zhang; Aiqian Zhang; Jianjie Fu; Guibin Jiang","First investigation into occurrence, trophodynamics, and risk implication of polychlorinated naphthalenes and polychlorinated biphenyls in a terrestrial food chain from Tibetan Plateau","Environmental Pollution",2026,396,127887
02,"Qianyuan Yang; Wei Zhou; Qiangying Zhang; Wenxiao Pan; Xiaomei Cui; Yuting Dong; Jifu Liu; Chuanlong Zhang; Duo Bu; Aiqian Zhang; Jianjie Fu; Guibin Jiang","Ubiquitous and remarkable tire-derived chemicals (TDCs) contamination in road-related environmental receptors across the Tibetan plateau","Environmental Research",2026,6,124289
03,"Jie Fu; Boyuan Hu; Duo Bu; Kai Huang; Pengyang Li; Qiangying Zhang; Haiyan Zhang; Xiaomei Cui; Zhihong Ye; Yong Liang; Aiqian Zhang; Jianjie Fu; Guibin Jiang","Trophodynamic and its contributing factors of organophosphate tri-esters and di-esters in a typical terrestrial food chain from the Tibetan Plateau","Environmental Chemistry and Ecotoxicology",,,
04,"Haoyu Wang; Bo Fang; Geng Xu; Kejie Li; Fangjing Xiao; Qiangying Zhang; Duo Bu; Xiaomei Cui","Integrated Transcriptomic and Proteomic Analysis of the Stress Response Mechanisms of Micractinium from the Tibetan Plateau Under Leather Wastewater Exposure","Biology",2026,15,123:2-16
05,"Kejie Li; Chaoji Xiong; Junyu Chen; Haoyu Wang; Qiangying Zhang; Xiaomei Cui; Bu Duo","Sulfur-modified covalent triazine polymer (S-CTP) is used for the ultra-efficient capture of silver ions in aqueous solutions","Journal of Industrial and Engineering Chemistry",2026,155,801–808
06,"张占宏; 陈均玉; 余含月; 尹秋霞; 付星昊; 尹宏伟; 布多","高原地区不同环境介质微塑料研究现状","环境化学",2026,,01
07,"鲁力; 布多; 张强英; 崔小梅; 旦增; 傅建捷","西藏自治区农产品重金属污染特征及暴露风险评估","环境化学",2026,,1-12
08,"桑木珍; 布多; 崔小敏; 曹继莲; 次仁德吉; 旦增曲珍; 达拉旺姆; 刘福云","中学化学教学中生态环境保护意识的培养——微塑料的环境污染行为与防控治理","化学教育(中英文)",2026,47(1),11-18
09,"尹宏伟; 张占宏; 尹秋霞; 等","松茸主要成分研究进展","食品安全刊",2026,20(01),113-116
10,"Chen Y.; Yang Q.; Liang Y.; et al.","Accumulation Characteristics of Trace Elements in Fish from High-Altitude Lakes and Risk Assessment: A Case Study of Nam Co Lake","Biological Trace Element Research",2025,,
11,"Fangjing Xiao; Guibin Jiang; Duo Bu; Jianjie Fu; Xiaomei Cui; Qiangying Zhang","Rapid and synergistic adsorption of arsenic and fluoride by bifunctional Al/Ce oxides in complex geothermal matrices","Ecotoxicology and Environmental Safety",2025,306,119362
12,"Fangjing Xiao; Xiaomei Cui; Guibin Jiang; Duo Bu; Qiangying Zhang","Accurate AQI forecasting in a high altitude city using a simulated CVOCA-BiLSTM hybrid model: a case study of Lhasa, Tibet","Scientific Reports",2025,15,38625
13,"王金虎; 宁琰萍; 崔小梅; 魏延丽; 布多","高原链带藻Desmodesmus sp. YH-1基因组研究及SSR特征分析","海洋渔业",2025,47(04),576-588
14,"付星昊; 陈均玉; 张占宏; 尹秋霞; 布多","大气颗粒物理化特性研究","云南化工",2025,52(09),32-36+52
15,"王浩宇; 陈莉; 杨博; 肖方景; 张强英; 布多; 崔小梅","藏贝母生物吸附剂的制备及对PM2.5吸附性能研究","环境科学与技术",2025,48(09),79-87
