"time","O3_mean","O3_sd","temperature_mean","temperature_sd","humidity_mean","humidity_sd","wind_speed_mean","wind_speed_sd","wind_direction_mean"
"2026-07-30 00:00:00",35.7,1.67,3.1,0.587,85.7,2.56,4.06,1.21,161
"2026-07-30 01:00:00",30.5,2.46,3.75,0.25,79.9,2.02,4.14,1.07,191
"2026-07-30 02:00:00",28.7,0.59,3.56,0.182,77.9,1.5,4.14,1.46,215
"2026-07-30 03:00:00",30.6,1.14,3.82,0.0939,74.5,0.929,3.65,1.67,208
"2026-07-30 04:00:00",31.5,0.901,3.26,0.324,82.9,3.34,1.82,0.942,11.6
"2026-07-30 05:00:00",27.3,1.63,2.28,0.109,94.2,1.37,2.8,1.22,31.7
"2026-07-30 06:00:00",24.6,0.689,2.12,0.132,96,0.753,2.48,1.24,29.9
"2026-07-30 07:00:00",24.9,0.48,2.15,0.102,96.3,0.365,2.05,0.944,20.5
"2026-07-30 08:00:00",26.2,1.09,2.1,0.113,96,0.67,2.96,1.32,38.7
"2026-07-30 09:00:00",27.9,0.619,2.57,0.62,92.9,3.02,2.91,1.39,42.3
"2026-07-30 10:00:00",29,0.727,4.41,0.498,83.8,1.73,2.65,1.13,47.7
"2026-07-30 11:00:00",30.9,0.769,6.5,0.476,74.4,2.57,3.97,0.972,27.9
"2026-07-30 12:00:00",31.2,0.536,6.13,0.376,76.7,1.57,4.55,0.868,39.3
"2026-07-30 13:00:00",31.8,0.573,5.92,0.416,77.3,2.33,4.6,0.924,39.1
"2026-07-30 14:00:00",32.1,0.592,6.91,0.419,71.9,1.52,4.9,1.22,24.1
"2026-07-30 15:00:00",32.9,0.593,6.68,0.448,73,2.52,4.76,1.29,24.3
"2026-07-30 16:00:00",33.3,0.654,7.49,0.626,64,5.59,4.48,2.28,164
"2026-07-30 17:00:00",34.7,1.09,5.25,1.35,76.7,7.77,3.72,1.24,63.1
"2026-07-30 18:00:00",34.6,0.714,4.39,0.248,80,1.59,3.46,1.12,34.7
"2026-07-30 19:00:00",33.1,1.56,6.15,0.685,68,6.53,4.54,2.28,160
"2026-07-30 20:00:00",32.4,0.46,5.67,0.213,65,0.863,4.64,1.88,208
"2026-07-30 21:00:00",29.4,4.51,4.76,0.277,69.3,1.26,5.53,1.71,195
"2026-07-30 22:00:00",23.4,11,4.56,0.124,68.9,0.673,5.38,1.8,199
"2026-07-30 23:00:00",28,0.529,4.27,0.109,68.8,0.386,5.31,2.08,204
