"time","O3_mean","O3_sd"
"2026-08-09 00:00:00",40.8,0.789
"2026-08-09 01:00:00",36.3,4.73
"2026-08-09 02:00:00",29.4,0.909
"2026-08-09 03:00:00",30.7,1.84
"2026-08-09 04:00:00",43.7,4.15
"2026-08-09 05:00:00",49.5,1.46
"2026-08-09 06:00:00",54.1,1.82
"2026-08-09 07:00:00",58,0.99
"2026-08-09 08:00:00",58.8,0.723
"2026-08-09 09:00:00",58.5,0.698
"2026-08-09 10:00:00",58.1,0.894
"2026-08-09 11:00:00",57.2,0.864
"2026-08-09 12:00:00",54.7,0.868
"2026-08-09 13:00:00",53.1,0.647
"2026-08-09 14:00:00",53.8,0.77
"2026-08-09 15:00:00",54,0.823
"2026-08-09 16:00:00",55.7,1.45
"2026-08-09 17:00:00",56.3,0.852
"2026-08-09 18:00:00",55,0.877
"2026-08-09 19:00:00",50.4,4.62
"2026-08-09 20:00:00",46.2,0.625
"2026-08-09 21:00:00",45.7,0.47
"2026-08-09 22:00:00",37.2,17.7
"2026-08-09 23:00:00",43.3,0.704
