"time","temperature_mean","temperature_sd","humidity_mean","humidity_sd","wind_speed_mean","wind_speed_sd","wind_direction_mean"
"2026-08-23 00:00:00",3.33,0.31,82.2,5.51,3.88,1.34,186
"2026-08-23 01:00:00",3.49,0.248,75.2,1.42,3.01,2.01,211
"2026-08-23 02:00:00",1.75,0.702,93,7.72,3.37,0.846,161
"2026-08-23 03:00:00",2.15,0.388,92.7,2.17,3.4,0.261,175
"2026-08-23 04:00:00",1.86,0.335,93.3,1.54,3.23,0.386,177
"2026-08-23 05:00:00",1.67,0.314,94.6,1.61,3.26,0.649,175
"2026-08-23 06:00:00",2.15,0.329,91.1,1.7,3.2,0.452,176
"2026-08-23 07:00:00",2,0.727,89.2,1.87,3.96,0.383,191
"2026-08-23 08:00:00",1.6,0.436,89.1,1.12,4.13,0.394,185
"2026-08-23 09:00:00",3.77,0.592,80.5,2.87,2.42,1.2,213
"2026-08-23 10:00:00",5.73,0.901,71.9,3.23,1.88,0.809,34.5
"2026-08-23 11:00:00",7.27,0.815,65.8,3.99,2.1,0.802,32.9
"2026-08-23 12:00:00",8.77,0.505,58.4,1.71,2.71,0.978,35.4
"2026-08-23 13:00:00",10.1,0.463,55.4,1.23,2.98,1.54,19.8
"2026-08-23 14:00:00",11.3,0.946,49.9,4.91,3.79,1.41,26.4
"2026-08-23 15:00:00",11.1,0.932,46.3,2.95,4.36,1.57,181
"2026-08-23 16:00:00",8.53,0.761,59.4,2.39,4.94,1.14,40.1
"2026-08-23 17:00:00",8.45,0.378,59.7,1.98,2.74,1.23,33.4
"2026-08-23 18:00:00",7.78,0.829,59.8,4.81,5.92,1.87,187
"2026-08-23 19:00:00",5.92,0.174,68.5,1.36,5.93,2.08,200
"2026-08-23 20:00:00",5.01,0.51,70.1,2.04,5.23,1.82,209
"2026-08-23 21:00:00",4.67,0.19,69.2,1.48,5.65,1.82,203
"2026-08-23 22:00:00",4.56,0.157,68.9,0.972,4.89,1.38,209
"2026-08-23 23:00:00",4.45,0.143,69.3,0.815,5.57,1.7,188
